Country Code,Country,Continent,Sub Region,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
NIC,Nicaragua,Americas,Central America,4.11,6.23,8.3,7.74,12.14,8.34,15.43,-2.35,4.54,8.16,4.41,5.53,6.93,-0.62,3.82,9.14,7.12,5.18,4.65,2.21,6.8
NLD,Netherlands,Europe,Western Europe,3.38,3.86,3.18,4.62,3.88,2.6,2.11,1.8,-0.04,2.51,2.8,3.02,2.87,1.83,0.6,1.56,2.94,7.57,0.53,17.26,75.64
NOR,Norway,Europe,Northern Europe,3.72,8.59,0.24,1.71,6.12,-0.87,6.83,1.81,5.22,0.93,-1.87,5.29,1.29,1.3,4.48,3.01,5.01,0.13,-3.49,44.52,29.15
NZL,New Zealand,Oceania,Australia and New Zealand,3.16,5.24,6.54,5.54,5.06,5.21,4.68,2.53,2.43,3.61,2.77,3.04,3.38,2.78,3.18,3.13,3.06,0.86,2.93,8.55,16.83
PAK,Pakistan,Asia,Southern Asia,4.9,4.9,2.5,5.8,11.5,4.9,16.6,18.0,10.63,8.35,6.56,5.34,8.36,5.21,4.97,5.04,6.21,8.49,6.16,10.04,12.19
PAN,Panama,Americas,Central America,-2.2,5.3,5.3,5.3,5.1,4.52,6.25,-7.34,2.58,1.76,3.3,4.11,1.53,-1.17,-0.98,1.92,0.64,-0.29,-4.07,-3.75,1.93
PHL,Philippines,Asia,South-Eastern Asia,3.73,3.82,3.8,7.53,5.96,2.3,4.65,1.67,5.17,5.08,4.12,1.75,2.55,-1.15,0.38,2.74,3.97,2.4,0.91,2.57,6.31
POL,Poland,Europe,Eastern Europe,5.9,3.4,4.14,4.0,4.55,3.89,9.04,8.52,3.75,6.08,5.81,1.96,1.56,0.7,-0.61,1.8,2.06,-0.38,7.49,12.14,30.26
PRT,Portugal,Europe,Southern Europe,2.93,4.17,3.0,4.37,3.86,3.64,3.95,2.06,4.43,6.66,8.71,2.15,2.22,0.23,0.39,0.6,2.19,-1.77,0.07,7.28,23.85
PRY,Paraguay,Americas,South America,10.98,9.55,1.45,4.27,5.15,2.87,7.8,1.82,5.33,7.72,9.7,4.94,4.69,3.02,2.49,2.38,3.01,2.94,1.41,2.44,3.95
QAT,Qatar,Asia,Western Asia,1.54,18.18,16.03,26.52,25.76,29.17,19.71,-11.98,-12.76,-3.75,-2.65,6.1,7.81,2.87,4.03,-3.04,-3.9,-2.98,-4.57,-5.08,5.25
ROU,Romania,Europe,Eastern Europe,37.7,18.8,19.4,17.6,11.9,5.9,9.9,4.0,7.6,9.3,6.9,4.1,2.3,-2.7,-4.4,0.4,12.2,2.7,-7.4,15.2,32.83
RUS,Russian Federation,Europe,Eastern Europe,35.7,15.4,14.4,18.0,16.7,11.6,13.7,19.62,13.54,10.92,5.03,9.07,7.74,10.93,7.03,4.76,3.98,4.67,3.02,5.4,6.66
SEN,Senegal,Africa,Western Africa,4.2,4.3,2.0,0.2,3.54,10.0,2.11,-0.15,2.12,3.15,0.23,-0.3,-4.77,-2.67,-1.82,-1.41,0.32,0.48,0.91,2.53,2.3
SGP,Singapore,Asia,South-Eastern Asia,-2.2,-0.34,-0.11,1.26,3.31,0.24,14.99,2.01,2.24,8.98,8.41,2.83,0.12,-3.54,-4.07,-2.54,-1.34,-0.99,-0.29,1.39,5.18
