Country Code,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021,2022
MDA,5.22,11.67,12.43,11.85,12.71,12.38,12.7,0.01,7.36,7.65,4.56,4.57,5.06,9.63,6.38,6.58,3.05,4.85,3.77,5.11,28.74
MDG,16.5,-1.7,13.96,18.36,10.77,10.29,9.3,8.95,9.25,9.48,5.71,5.83,6.08,7.4,6.66,8.28,7.29,5.62,4.2,5.82,9.8
MDV,0.93,-2.8,6.34,2.46,3.5,6.8,12.03,4.55,6.16,11.26,10.89,3.8,2.12,1.89,0.8,2.27,1.37,1.31,-1.37,0.54,2.18
MEX,5.03,4.55,4.69,3.99,3.63,3.97,5.12,5.3,4.16,3.41,4.11,3.81,4.02,2.72,2.82,6.04,4.9,3.63,3.4,5.69,7.9
MKD,1.07,0.87,-0.45,0.53,3.2,2.26,8.32,-0.74,1.5,3.89,3.31,2.79,-0.27,-0.29,-0.23,1.35,1.46,0.77,1.2,3.23,14.2
MLI,4.87,-1.16,-3.11,6.41,1.52,1.46,9.12,2.22,1.29,3.05,5.32,-0.6,0.89,1.44,-1.8,1.76,1.73,-2.89,0.44,3.93,9.99
MLT,2.61,1.93,2.79,3.0,2.77,1.25,4.26,2.09,1.52,2.72,2.42,1.38,0.31,1.1,0.64,1.26,1.16,1.52,0.64,1.5,6.15
MMR,58.1,24.95,3.76,10.74,26.33,30.93,11.54,2.25,8.22,2.77,2.83,5.72,5.11,10.04,6.76,4.62,6.0,8.63,6.11,5.03,16.75
MNE,19.7,7.5,3.1,3.45,2.12,3.37,9.0,3.55,0.38,3.44,4.15,2.21,-0.7,1.56,-0.27,2.37,2.6,0.37,-0.26,2.41,13.05
MNG,1.05,5.05,8.23,12.65,4.41,8.19,26.74,6.4,10.34,7.74,14.29,9.96,12.8,6.56,0.72,4.62,6.83,7.26,3.69,7.1,15.15
MOZ,16.77,13.45,12.63,6.43,13.24,8.16,14.5,3.75,12.47,11.15,2.6,4.27,2.56,3.55,17.45,15.11,3.92,2.79,3.63,5.69,10.28
MRT,3.9,5.15,10.37,12.13,6.24,7.25,7.45,2.14,6.26,5.69,4.9,4.13,3.77,0.49,1.47,2.27,3.07,2.31,2.39,3.77,7.1
MUS,6.45,3.88,4.7,4.94,8.93,8.86,9.67,2.56,2.97,6.53,3.83,3.54,3.19,1.32,0.95,3.68,3.21,0.45,2.58,4.03,10.77
MWI,7.71,7.83,7.98,8.16,8.34,8.52,8.72,8.42,7.41,7.62,21.3,28.28,23.77,21.86,21.73,11.54,9.22,9.38,8.63,9.34,18.45
